,Year,SE.PRM.NENR.FE,SE.ADT.1524.LT.FE.ZS,SP.POP.TOTL,Country Code,Country Name,Region,Income Group,Lending Type
0,2011,88.24009,98.8562393188,2905195,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
1,2012,90.952,99.0201873779,2900401,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
2,2011,95.76167,99.8761901855,2876538,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
3,2017,91.91511,99.8741607666,2944809,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
4,2010,83.84758,99.9333267212,9054332,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
5,2011,85.40787,99.9317626953,9173082,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
6,2012,87.94237,99.9176712036,9295784,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
7,2013,91.6671,99.9266967773,9416801,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
8,2017,94.68734,99.9131088257,9854033,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
9,2016,96.98251,98.8502883911,1425791,BHR,Bahrain,Middle East & North Africa,High income,Not classified
10,2018,95.85031,99.3013381958,1569439,BHR,Bahrain,Middle East & North Africa,High income,Not classified
11,2014,93.18643,99.9000015259,284825,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
12,2018,94.80403,99.8700027466,9483499,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
13,2012,91.40577,82.1790390015,701583,BTN,Bhutan,South Asia,Lower middle income,IDA
14,2017,87.64798,92.8911209106,745568,BTN,Bhutan,South Asia,Lower middle income,IDA
15,2011,88.24858,98.7720184326,10212954,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
16,2012,86.56157,98.8286132812,10377676,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
17,2015,86.85004,99.4042129517,10869730,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
18,2013,88.75808,99.139541626,2062536,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
19,2011,94.57989,99.0731506348,197514534,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
20,2012,98.69599,99.0208206177,199287296,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
21,2013,93.90186,99.2297210693,201035903,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
22,2014,94.72819,99.2503128052,202763735,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
23,2015,94.68207,99.3467025757,204471769,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
24,2014,66.49125,43.9858283997,17586017,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
25,2018,77.69237,54.6699981689,19751535,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
26,2017,96.35943,85.6185531616,10827024,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
