,Year,SE.ADT.1524.LT.FE.ZS,SP.POP.TOTL,SH.DYN.STLB,Country Code,Country Name,Region,Income Group,Lending Type
0,2011,32.1132202148,30117413.0,32.11355064,AFG,Afghanistan,South Asia,Low income,IDA
1,2018,56.2547492981,37172386.0,28.9119483,AFG,Afghanistan,South Asia,Low income,IDA
2,2011,98.8562393188,2905195.0,4.363312218,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
3,2012,99.0201873779,2900401.0,4.252687257,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
4,2018,99.6299972534,2866376.0,4.01768106,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
5,2018,97.2521591187,42228429.0,9.455243186,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
6,2014,70.5851287842,26941779.0,21.34208364,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
7,2010,99.5886688232,40788453.0,4.8524132810000005,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
8,2011,99.7114486694,41261490.0,4.876825645,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
9,2012,99.6142807007,41733271.0,5.082296758,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
10,2013,99.5981216431,42202935.0,5.1748165440000005,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
11,2014,99.4023971558,42669500.0,5.193373667,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
12,2015,99.6435012817,43131966.0,5.096389042,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
13,2016,99.6289291382,43590368.0,5.205472246,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
14,2018,99.7576522827,44494502.0,5.325724355,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
15,2011,99.8761901855,2876538.0,14.88892009,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
16,2017,99.8741607666,2944809.0,13.42428932,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
