,Year,SE.ADT.1524.LT.FE.ZS,SP.POP.TOTL,SP.POP.80UP.FE,Country Code,Country Name,Region,Income Group,Lending Type
0,2011,32.1132202148,30117413.0,42436,AFG,Afghanistan,South Asia,Low income,IDA
1,2018,56.2547492981,37172386.0,58031,AFG,Afghanistan,South Asia,Low income,IDA
2,2011,98.8562393188,2905195.0,31764,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
3,2012,99.0201873779,2900401.0,33221,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
4,2018,99.6299972534,2866376.0,42667,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
5,2018,97.2521591187,42228429.0,284236,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
6,2014,70.5851287842,26941779.0,41622,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
7,2010,99.5886688232,40788453.0,667683,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
8,2011,99.7114486694,41261490.0,690120,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
9,2012,99.6142807007,41733271.0,707869,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
10,2013,99.5981216431,42202935.0,721746,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
11,2014,99.4023971558,42669500.0,732499,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
12,2015,99.6435012817,43131966.0,740905,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
13,2016,99.6289291382,43590368.0,759312,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
14,2018,99.7576522827,44494502.0,785962,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
15,2011,99.8761901855,2876538.0,45190,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
16,2017,99.8741607666,2944809.0,55899,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
17,2010,99.323097229,101669.0,1101,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
18,2018,99.3899993896,105845.0,1589,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
19,2010,99.9333267212,9054332.0,54187,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
20,2011,99.9317626953,9173082.0,58278,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
21,2012,99.9176712036,9295784.0,61790,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
22,2013,99.9266967773,9416801.0,64998,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
23,2014,99.936378479,9535079.0,68407,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
24,2015,99.9201126099,9649341.0,72176,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
25,2016,99.9164810181,9757812.0,77514,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
26,2017,99.9131088257,9854033.0,82696,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
27,2010,95.1241836548,1240860.0,1829,BHR,Bahrain,Middle East & North Africa,High income,Not classified
28,2016,98.8502883911,1425791.0,2445,BHR,Bahrain,Middle East & North Africa,High income,Not classified
29,2017,99.0839309692,1494074.0,2673,BHR,Bahrain,Middle East & North Africa,High income,Not classified
30,2018,99.3013381958,1569439.0,2891,BHR,Bahrain,Middle East & North Africa,High income,Not classified
31,2011,79.5444869995,149273778.0,580519,BGD,Bangladesh,South Asia,Lower middle income,IDA
32,2012,79.3692016602,151007807.0,620201,BGD,Bangladesh,South Asia,Lower middle income,IDA
33,2013,86.9257888794,152764676.0,656184,BGD,Bangladesh,South Asia,Lower middle income,IDA
34,2014,86.4806671143,154520167.0,688457,BGD,Bangladesh,South Asia,Lower middle income,IDA
35,2015,89.5350570679,156256276.0,717385,BGD,Bangladesh,South Asia,Lower middle income,IDA
36,2016,93.5353164673,157970840.0,765722,BGD,Bangladesh,South Asia,Lower middle income,IDA
37,2017,94.3777618408,159670593.0,809777,BGD,Bangladesh,South Asia,Lower middle income,IDA
38,2018,94.9125900269,161356039.0,850398,BGD,Bangladesh,South Asia,Lower middle income,IDA
39,2019,96.0877609253,163046161.0,889154,BGD,Bangladesh,South Asia,Lower middle income,IDA
40,2014,99.9000015259,284825.0,7246,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
41,2018,99.8700027466,9483499.0,285106,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
